Specific Gravity,Pressure (psia),Hydrate Temperature (K),LOWESS_Predicted,Residual,Outlier
0.761791681,2698.844664,296.8420285,296.0345696505294,0.8074588494706063,False
0.668342084,2276.003169,294.1507088,294.5352802177191,0.3845714177190871,False
0.611411069,2144.791765,292.6519191,294.28386169447396,1.6319425944739692,False
0.5900522,1573.007113,290.3769707,292.37314796476375,1.9961772647637304,False
0.603406533,632.7705679,285.0285149,286.6446053462545,1.616090446254475,False
0.514437213,199.7824817,275.1841583,278.19436824494534,3.010209944945359,False
0.735665349,1002.577051,290.4708705,289.4902834438397,0.9805870561602887,False
0.968179905,723.3359115,291.9285874,287.5524259956316,4.376161404368418,False
0.965323108,2110.623859,298.5288605,294.2707899788948,4.258070521105196,False
0.992720055,1178.117565,295.3589734,290.31654247251925,5.04243092748078,False
0.956429431,1353.48346,295.730305,291.6529173278656,4.077387672134364,False
0.56881525,2216.208566,291.907288,294.3831083411187,2.4758203411187196,False
0.548802623,1664.825427,289.7822863,292.8760027569199,3.0937164569198785,False
0.752720276,665.4814529,288.1575139,286.96918994883265,1.1883239511673764,False
0.516292885,1661.983518,288.99061,292.8556250799255,3.865015079925513,False
0.812707552,513.8424097,287.4317645,284.90225284016003,2.5295116598399545,False
0.751715438,2234.685604,295.5776988,294.42333073768975,1.1543680623102546,False
0.91781027,2060.320293,297.7207055,294.22562128921896,3.4950842107810445,False
0.986505253,2040.855929,298.6164112,294.20516587501015,4.4112453249898635,False
0.502678717,1709.695681,288.8149485,293.1728835482161,4.3579350482160635,False
0.901829596,1323.330579,294.8242592,291.4944252424177,3.3298339575822524,False
0.793655765,1271.455965,292.918192,291.0808040943503,1.8373879056496776,False
0.674274465,1754.616133,292.7447028,293.4273189679351,0.6826161679350662,False
0.680063051,2101.322872,293.9135458,294.26677199351957,0.35322619351956064,False
0.551995609,877.8180685,285.9804193,288.6583456802239,2.67792638022388,False
0.81203386,2618.061952,297.5069158,295.7559690211665,1.7509467788335087,False
0.55155134,1880.9261,290.5608806,293.86771111215955,3.306830512159536,False
0.770938541,2454.942082,296.4534634,295.0980446351087,1.355418764891283,False
0.777110359,921.8189431,290.6488238,288.9498499930685,1.6989738069315194,False
0.705873912,357.9157724,283.2020925,281.8774301011999,1.3246623988001147,False
0.798903657,290.1757709,283.2891641,280.5374161078318,2.751747992168191,False
0.526823918,1431.142592,288.3645942,291.9052018818327,3.5406076818326824,False
0.909424209,231.9521946,283.3045243,279.2473526424669,4.057171657533104,False
0.912780882,217.6432938,282.8848146,278.8782336757646,4.006580924235436,False
0.812181748,806.666492,290.3692526,288.22228389431274,2.146968705687243,False
0.766024567,245.0612121,281.5589022,279.5493192977974,2.009582902202567,False
0.75471225,576.7925001,287.2567069,285.92971351943703,1.3269933805629535,False
0.605282654,484.1903391,283.3168131,284.32735801388816,1.0105449138881681,False
0.69505707,1560.249737,292.4395512,292.3164402223115,0.12311097768849777,False
0.841889372,974.7595161,292.0321467,289.33973498994465,2.692411710055353,False
0.880672628,664.1626963,290.1525069,286.9566375612068,3.1958693387932158,False
0.712904494,1264.68562,291.4986849,291.0261548918306,0.4725300081694286,False
0.959829353,1473.400577,296.2961947,291.9674733816692,4.328721318330793,False
0.595081541,842.4644762,286.6751008,288.4644139777299,1.7893131777299232,False
0.891746503,1308.437502,294.6082052,291.3744180338946,3.233787166105401,False
0.83886644,674.8383712,289.6328945,287.06256253853894,2.570331961461079,False
0.713989683,1655.22639,293.14026,292.8077407815171,0.33251921848290067,False
0.852177879,1590.17909,295.2022336,292.4381735474202,2.7640600525797936,False
0.675633722,235.9061602,279.7266309,279.34227783533856,0.3843530646614113,False
0.628305977,202.9846035,277.7446158,278.3306151477884,0.5859993477884018,False
0.733264764,1462.527844,292.743778,291.95061934860286,0.7931586513971638,False
0.560726878,2162.604497,291.5815483,294.2972178923035,2.7156695923034704,False
0.548453142,1904.593465,290.5612635,293.95539458847173,3.394131088471738,False
0.698242588,1050.558409,290.0911243,289.741253899271,0.349870400729003,False
0.726457728,2232.661678,295.1259346,294.4186227603894,0.7073118396106111,False
0.748008816,782.5201161,289.1202037,288.0375974920249,1.0826062079751182,False
0.903291116,677.0104414,290.6033657,287.08597943336065,3.5173862666393347,False
